"CrossingID","StateName","Latitude","Longitude"
"243965F","NC","35.4795610","-79.1769640"
"243973X","NC","35.8734500","-81.9494080"
"243976T","NC","35.8736940","-81.9389610"
"243979N","NC","35.3097950","-79.2625120"
"244049J","NC","35.9122390","-78.8506620"
"244112Y","NC","35.654472","-81.962552"
"244113F","NC","35.6476080","-81.9560560"
"244130W","NC","36.0793640","-82.3477560"
"244131D","NC","36.0702670","-82.3432080"
"244132K","NC","36.0444220","-82.3352310"
"244133S","NC","36.040746","-82.335777"
"244134Y","NC","36.0393580","-82.3362030"
"244135F","NC","36.0385640","-82.3368670"
"244136M","NC","36.0378690","-82.3375920"
"244137U","NC","36.0335470","-82.3381670"
"244138B","NC","36.0298610","-82.3288830"
"244139H","NC","36.0263320","-82.3187010"
"244140C","NC","36.0288280","-82.3126440"
"244141J","NC","36.0308750","-82.3138720"
"244142R","NC","36.0318890","-82.3142720"
"244143X","NC","36.0350970","-82.3142110"
"244144E","NC","36.038902","-82.312203"
"244145L","NC","36.0460641","-82.2991128"
"244146T","NC","36.0455470","-82.2984080"
"244147A","NC","36.0446440","-82.2978580"
"244148G","NC","36.0424190","-82.2980560"
"244149N","NC","36.0398250","-82.2979720"
"244150H","NC","36.036005","-82.295373"
"244151P","NC","36.0061830","-82.2733110"
"244152W","NC","35.9120750","-78.8471600"
"244153D","NC","36.0030310","-82.2721970"
"244154K","NC","36.0011920","-82.2660440"
"244155S","NC","36.000475","-82.263889"
"244156Y","NC","35.998549","-82.260744"
"244157F","NC","35.9936090","-82.2574120"
"244158M","NC","35.9931780","-82.2570360"
"244159U","NC","35.9916720","-82.2499580"
"244160N","NC","35.994812","-82.251032"
"244161V","NC","36.003106","-82.253522"
"244162C","NC","36.0066080","-82.2545250"
"244163J","NC","36.0093530","-82.2513250"
"244164R","NC","36.0082340","-82.2461880"
"244165X","NC","36.0139080","-82.2334970"
"244166E","NC","36.0141030","-82.2305780"
"244167L","NC","36.0135630","-82.2283780"
"244168T","NC","36.0149690","-82.2043500"
"244169A","NC","36.0105140","-82.1935220"
"244170U","NC","36.0085920","-82.1927830"
"244171B","NC","36.0062310","-82.1923610"
"244172H","NC","35.8074680","-78.8232960"
"244173P","NC","36.0003560","-82.1933780"
"244174W","NC","36.0036560","-82.1997470"
"244175D","NC","35.9544250","-82.1950750"
"244176K","NC","35.9503863","-82.1923215"
"244177S","NC","35.7357290","-78.9292370"
"244178Y","NC","35.9308750","-82.1718520"
"244179F","NC","35.9302390","-82.1173110"
